architecture,scenario,pump_scale,radiator_ua_scale,feasible,infeasibility_reason,max_battery_flow_kg_s,max_powertrain_flow_kg_s,battery_design_flow_capacity_kg_s,powertrain_design_flow_capacity_kg_s,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct,pump_energy_kwh,mean_battery_flow_kg_s,mean_powertrain_flow_kg_s,max_battery_pressure_drop_kpa,max_powertrain_pressure_drop_kpa,hydraulic_solver_failures,liquid_hx_energy_kwh
independent_dual_loop,hill_high_load,0.4,0.75,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016827001926198462,0.015275207396792318,0.09660712992384309,0.13778902758173167,10.199508935091623,6.0720810892036505,0.010571793061869103,6.0720810892036505,59.53307289444621,125.98039434815851,29.21263561572471,41.6736084870713,0.7302963033504126,0.0,1.764943365948447e-13,2.4348706042197335e-12,3.1287922676892934e-07,0.001350791870619651,0.011136001930969629,0.11573249438391882,0.11293796738755853,0.0,0.0
independent_dual_loop,hill_high_load,0.4,1.0,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016827001926198462,0.01527520545309751,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089203749,0.010571793061968673,6.072081089203749,59.53307289444718,125.98039434815647,29.212635615724764,41.673586417075434,0.7302963033504126,0.0,1.700869514379334e-13,2.47434049933795e-12,3.1287932633834193e-07,0.001350791870619651,0.011135994129033943,0.11573249438391882,0.11293799231278176,0.0,0.0
independent_dual_loop,hill_high_load,0.4,1.25,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016827001926198462,0.015275205328809677,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089203755,0.010571793061974828,6.072081089203755,59.53307289444724,125.98039434815634,29.212635615724768,41.673585051599865,0.7302963033504126,0.0,1.6684165246235623e-13,2.502873743770745e-12,3.128793324952967e-07,0.001350791870619651,0.011135993646259144,0.11573249438391882,0.11293799390660281,0.0,0.0
independent_dual_loop,hill_high_load,0.6,0.75,True,ok,0.003711077937133631,0.02413643970766244,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867388782,0.010572571246999129,6.072081867388782,59.533080524079516,125.98037820277843,29.205860626905988,40.95232733970179,0.7302963033504126,0.0,1.6367954530420162e-13,2.459701323219963e-12,1.0910643567933187e-06,0.0029952232269980636,0.017846204511050876,0.25729140661173555,0.2299449016560028,0.0,0.0
independent_dual_loop,hill_high_load,0.6,1.0,True,ok,0.003711077937133631,0.02413634923899729,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867401221,0.010572571259439436,6.072081867401221,59.53308052420147,125.98037820252034,29.20586062691225,40.95112009499665,0.7302963033504126,0.0,1.7545415418058063e-13,2.4551755305015398e-12,1.0910767971015517e-06,0.002995223226998066,0.017845913161310192,0.25729140661173555,0.22994673479109543,0.0,0.0
independent_dual_loop,hill_high_load,0.6,1.25,True,ok,0.003711077937133631,0.024136334464300344,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867403301,0.010572571261518551,6.072081867403301,59.53308052422187,125.98037820247718,29.2058606269133,40.95091817276161,0.7302963033504126,0.0,1.5739698014344539e-13,2.584816275662765e-12,1.0910788762172843e-06,0.002995223226998067,0.017845864460294947,0.25729140661173555,0.22994703416498738,0.0,0.0
independent_dual_loop,hill_high_load,0.8,0.75,True,ok,0.006426713863752593,0.033032366613001164,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083445960248,0.010574149818463666,6.072083445960248,59.53309600101549,125.9803454514119,29.197527340256034,40.289666563955734,0.7302963033504126,0.0,1.547757372236512e-13,2.3283154827833904e-12,2.669635821332918e-06,0.005221059647550539,0.024594957979449425,0.4503471520440414,0.38551088683601453,0.0,0.0
independent_dual_loop,hill_high_load,0.8,1.0,True,ok,0.006426713863752595,0.03303177386019626,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083446098311,0.010574149956527945,6.072083446098311,59.53309600236911,125.98034544854744,29.197527340324783,40.2814737735521,0.7302963033504126,0.0,1.6596785370191036e-13,2.4164653297445967e-12,2.669773885612642e-06,0.005221059647550645,0.024593420789348265,0.45034715204404163,0.3855273242428708,0.0,0.0
independent_dual_loop,hill_high_load,0.8,1.25,True,ok,0.006426713863752595,0.033031620539317005,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083446135557,0.010574149993774564,6.072083446135557,59.533096002734275,125.98034544777472,29.19752734034335,40.27926144552618,0.7302963033504126,0.0,1.549837691240471e-13,2.5727864677126713e-12,2.6698111322300956e-06,0.005221059647550673,0.024593006297033055,0.45034715204404163,0.38553157587894893,0.0,0.0
independent_dual_loop,hill_high_load,1.0,0.75,True,ok,0.00973418643294327,0.04194219238673092,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086142569693,0.010576846427910716,6.072086142569693,59.53312243963583,125.98028950362372,29.188397487007972,39.68394920363114,0.7302963033504126,0.0,1.414200261263971e-13,2.0909546228350118e-12,5.366245268380391e-06,0.007963902591429008,0.03135984113268873,0.690982909409421,0.5795910201315335,0.0,0.0
