time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_station_power_w,grid_power_w,charger_loss_w,dc_bus_power_w,auxiliary_power_w,accepted_battery_power_w,curtailed_station_power_w,battery_current_a,battery_heat_w,temperature_factor,soc_factor,limiting_reason,power_ledger_residual_w,incremental_aging_damage,cumulative_aging_damage
0.0,0.202288854233927,-11.822288291701526,-12.062889991558595,220000.0,39745.28244877362,1987.2641224386825,37758.01832633494,5943.1578947368425,31814.860431598096,180254.71755122638,-88.31422007904956,175.84783817200218,0.15222421259137847,1.0,temperature,0.0,2.1725669180285185e-08,2.1725669180285185e-08
5.0,0.20291024080097192,-11.821179509867301,-11.8018763760025,220000.0,39744.662876491166,1987.23314382456,37757.429732666606,5943.1578947368425,31814.271837929766,180255.33712350883,-88.302301632697,175.69606534677155,0.15222139635373094,1.0,temperature,-3.637978807091713e-12,2.172155389373645e-08,4.3447223074021634e-08
10.0,0.2035316100183002,-11.818771932971156,-11.546679047262948,220000.0,39747.71202653531,1987.385601326765,37760.32642520854,5943.1578947368425,31817.1685304717,180252.2879734647,-88.29983614664957,175.64065323833324,0.15223525612665872,1.0,temperature,0.0,2.17217634575257e-08,6.516898653154734e-08
15.0,0.20415302661817203,-11.815099903097451,-11.297141928286226,220000.0,39754.33286299969,1987.7166431499863,37766.616219849704,5943.1578947368425,31823.458325112864,180245.6671370003,-88.30656945547075,175.67897383245645,0.15226535083786055,1.0,temperature,-3.637978807091713e-12,2.1726182401455365e-08,8.68951689330027e-08
20.0,0.20477455359164834,-11.810196843453044,-11.053113120057562,220000.0,39764.43094515242,1988.2215472576208,37776.209397894796,5943.1578947368425,31833.051503157956,180235.56905484758,-88.3222541255809,175.8085025467517,0.15231125121128186,1.0,temperature,-3.637978807091713e-12,2.173469997662694e-08,1.0862986890962965e-07
25.0,0.2053962522347473,-11.804095282554364,-10.81444478976744,220000.0,39777.91435917445,1988.8957179587233,37789.01864121573,5943.1578947368425,31845.860746478887,180222.08564082556,-88.346649282485,176.02681340942434,0.15237253945683696,1.0,temperature,-3.637978807091713e-12,2.1747209931050393e-08,1.3037707884068004e-07
30.0,0.20601818219341467,-11.79682687779481,-10.580993061963204,220000.0,39794.69365164585,1989.734682582297,37804.958969063555,5943.1578947368425,31861.80107432671,180205.30634835415,-88.3795204422056,176.33157446710015,0.15244880896807045,1.0,temperature,0.0,2.1763610297515125e-08,1.5214068913819517e-07
35.0,0.20664040150733673,-11.788422438407602,-10.352617912606766,220000.0,39814.68176473463,1990.7340882367353,37823.9476764979,5943.1578947368425,31880.789781761054,180185.31823526538,-88.42063934681902,176.72054341177943,0.15253966402756486,1.0,temperature,0.0,2.1783803192979343e-08,1.739244923311745e-07
40.0,0.2072629666526242,-11.778911947838894,-10.129183065961346,220000.0,39837.793973049505,1991.8896986524778,37845.90427439703,5943.1578947368425,31902.746379660184,180162.2060269505,-88.46978380401013,177.19156341748044,0.152644719519905,1.0,temperature,0.0,2.180769462878868e-08,1.9573218695996317e-07
45.0,0.20788593258339472,-11.768324585545596,-9.910555894232147,220000.0,39863.947822113376,1993.1973911056702,37870.750431007706,5943.1578947368425,31927.592536270866,180136.05217788662,-88.52673753054935,177.74255917726373,0.15276360065201383,1.0,temperature,-3.637978807091713e-12,2.183519433107546e-08,2.1756738129103863e-07
