time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_station_power_w,grid_power_w,charger_loss_w,dc_bus_power_w,auxiliary_power_w,accepted_battery_power_w,curtailed_station_power_w,battery_current_a,battery_heat_w,temperature_factor,soc_factor,limiting_reason,power_ledger_residual_w,incremental_aging_damage,cumulative_aging_damage
0.0,0.15062706601685494,10.188621879070876,17.82045902570441,220000.0,174987.20734296483,8749.360367148241,166237.8469758166,5943.1578947368425,160294.68908107973,45012.79265703517,-420.5936010710908,10899.1094089656,0.7669602348377016,1.0,temperature,0.0,6.337053031773958e-07,6.337053031773958e-07
5.0,0.15361623403338834,10.372821992959034,17.853247511395068,220000.0,176859.1403037981,8842.957015189924,168016.18328860818,5943.1578947368425,162073.02539387133,43140.85969620189,-424.77650761264016,11099.110539779298,0.7754690210233075,1.0,temperature,0.0,6.499942959903044e-07,1.2836995991677003e-06
10.0,0.15663498007244286,10.55900686412878,17.888986572709886,220000.0,178750.26147304976,8937.513073652488,169812.74839939727,5943.1578947368425,163869.59050466042,41249.73852695024,-428.979700286697,11307.488511894973,0.7840650263380882,1.0,temperature,0.0,6.66698429500754e-07,1.9503980286684543e-06
15.0,0.15968357619022652,10.747219838422241,17.92764990507658,220000.0,180661.75948372573,9033.087974186288,171628.67150953945,5943.1578947368425,165685.5136148026,39338.240516274265,-433.2215535797817,11518.79375704228,0.7927536536593429,1.0,temperature,0.0,6.838864772596664e-07,2.6342845059281206e-06
20.0,0.16276230073960668,10.937504553185544,17.96921265923147,220000.0,182594.07935313863,9129.70396765694,173464.3753854817,5943.1578947368425,167521.21749074484,37405.92064686137,-437.5029622803387,11733.074896682396,0.8015369257930378,1.0,temperature,0.0,7.015761886047433e-07,3.335860694532864e-06
25.0,0.16587143839256188,11.129904944604968,18.013651414496582,220000.0,184547.66909137522,9227.383454568771,175320.28563680645,5943.1578947368425,169377.1277420696,35452.330908624775,-441.8248243673199,11950.380667578764,0.8104168791486586,1.0,temperature,0.0,7.197860302128936e-07,4.055646724745758e-06
30.0,0.1690112801640636,11.324465254461595,18.06094415280126,220000.0,186522.97977661467,9326.14898883074,177196.83078778393,5943.1578947368425,171253.67289304707,33477.020223385334,-446.18804121340355,12170.759890544776,0.8193955640815651,1.0,temperature,0.0,7.385352178488784e-07,4.794181942594636e-06
35.0,0.17218212343729813,11.521230036287747,18.111070233419937,220000.0,188520.46562447608,9426.02328122381,179094.44234325227,5943.1578947368425,173151.28444851542,31479.534375523916,-450.5935177754312,12394.26143741855,0.8284750452082077,1.0,temperature,0.0,7.578437496031549e-07,5.5520256921977915e-06
40.0,0.17538427199013726,11.720244160907347,18.16401036839814,220000.0,190540.5840512246,9527.029202561243,181013.55484866336,5943.1578947368425,175070.3969539265,29459.415948775393,-455.0421627718756,12620.934196179336,0.8376574016934282,1.0,temperature,0.0,7.777324406892521e-07,6.3297581328870435e-06
45.0,0.17861803602276521,11.92155282134112,18.219746598638963,220000.0,192583.79573065255,9629.189786532632,182954.60594411992,5943.1578947368425,177011.44804938306,27416.20426934745,-459.5348888471296,12850.827034120211,0.8469447275090094,1.0,temperature,0.0,7.982229598742472e-07,7.127981092761291e-06
50.0,0.1818837321863671,12.125201537056437,18.278262270622545,220000.0,194650.56464443915,9732.528232221957,184918.0364122172,5943.1578947368425,178974.87851748033,25349.435355560854,-464.0726127223728,13083.988758990954,0.8563391316625857,1.0,temperature,0.0,8.193378676192776e-07,7.947318960380569e-06
55.0,0.18518168361278278,12.331236157540395,18.076384118994486,220000.0,191095.92876290224,9554.796438145131,181541.1323247571,580.0,180961.1323247571,28904.071237097756,-468.65625533275534,13320.468078025726,0.865842738395967,1.0,temperature,0.0,8.411006560105792e-07,8.788419616391148e-06
60.0,0.1885122199450277,12.538387075699891,17.883142355273048,220000.0,193211.2175332041,9660.560876660224,183550.65665654387,580.0,182970.65665654387,26788.782466795907,-473.2867419505957,13560.313554769116,0.8754576873518851,1.0,temperature,0.0,8.635357905651077e-07,9.651955406956256e-06
65.0,0.19187545807734127,12.746715117715874,17.698366123050675,220000.0,195337.96695964164,9766.898347982089,185571.06861165955,580.0,184991.06861165955,24662.033040358365,-477.93383985508405,13801.924186976912,0.8851247301993281,1.0,temperature,0.0,8.86515411113008e-07,1.0538470818069264e-05
70.0,0.19527152472269765,12.956280649318433,17.52188960423149,220000.0,197476.8015243391,9873.840076216962,187602.96144812214,580.0,187022.96144812214,22523.1984756609,-482.5989443401194,14045.353019767263,0.8948467054934075,1.0,temperature,0.0,9.100589574749047e-07,1.144852977554417e-05
75.0,0.19870055629213734,13.167143600986721,17.353551897123207,220000.0,199628.34098212534,9981.417049106269,189646.92393301908,580.0,189066.92393301908,20371.659017874656,-487.2834335519558,14290.65292392288,0.9046264303015268,1.0,temperature,0.0,9.341866232674652e-07,1.2382716398811634e-05
80.0,0.20216269877961796,13.37936349178076,17.193196897759922,220000.0,201793.20061925318,10089.660030962666,191703.54058829052,580.0,191123.54058829052,18206.799380746816,-491.98866927355914,14537.876547815085,0.9144667013793801,1.0,temperature,0.0,9.589193847779043e-07,1.334163578358954e-05
85.0,0.2056581076521034,13.592999451833807,17.04067318435617,220000.0,203971.9914980719,10198.599574903608,193773.3919231683,580.0,193193.3919231683,16028.008501928096,-496.71599766898566,14787.076269759493,0.924370296283102,1.0,temperature,0.0,9.842790312006082e-07,1.4325914814790148e-05
90.0,0.20918694774461993,13.808110243530635,16.895833904795406,220000.0,206165.32068794992,10308.2660343975,195857.05465355242,580.0,195277.05465355242,13834.67931205008,-501.46674998918917,15038.304150600405,0.9343399744189109,1.0,temperature,0.0,1.01028819628843e-06,1.5336203011078577e-05
95.0,0.2127493931600163,14.024754281393973,16.758536667058753,220000.0,208373.79148270393,10418.689574135205,197955.10190856873,580.0,197375.10190856873,11626.208517296065,-506.24224324053426,15291.611886333027,0.9443784780314295,1.0,temperature,0.0,1.0369703914735086e-06,1.6373173402552083e-05
100.0,0.21634562717317432,14.242989650698421,16.62864343250242,220000.0,210598.00360476764,10529.900180238386,200068.10342452925,580.0,199488.10342452925,9401.99639523236,-511.04378081719494,15547.05076058551,0.9544885331317188,1.0,temperature,0.0,1.0643500405148308e-06,1.7437523443066916e-05
105.0,0.21997584213942295,14.462874124828389,16.506020411894625,220000.0,212838.55339629334,10641.927669814671,202196.62572647867,580.0,201616.62572647867,7161.4466037066595,-515.8726530984898,15804.671596792043,0.9646728503659263,1.0,temperature,0.0,1.0924525157321144e-06,1.852997595879903e-05
110.0,0.22364023940691574,14.684465181393989,16.39053796412513,220000.0,215096.03399736102,10754.801699868054,204341.23229749297,580.0,203761.23229749297,4903.966002638976,-520.7301380121328,16064.524709900401,0.9749341258253248,1.0,temperature,0.0,1.1213041758881477e-06,1.9651280134687178e-05
115.0,0.2273390292327383,14.907820017116393,16.282070497502843,220000.0,217371.03551143434,10868.551775571716,206502.48373586262,580.0,205922.48373586262,2628.96448856566,-525.61750156426,16326.659857464852,0.985275041798386,1.0,temperature,0.0,1.1509324057841484e-06,2.0802212540471325e-05
120.0,0.2310724307025174,15.132995561491828,16.180496373558924,220000.0,219664.14515818452,10983.207257909235,208680.93790027528,580.0,208100.93790027528,335.85484181548236,-530.5359983370296,16591.126189986295,0.9956982674654316,1.0,temperature,0.0,1.1813656576354014e-06,2.1983578198106726e-05
125.0,0.23481023183442137,15.35590967368604,16.085697813274944,220000.0,219999.99999999994,11000.0,208999.99999999994,580.0,208419.99999999994,5.820766091346741e-11,-531.1612134810894,16543.42221817466,1.0,1.0,station,0.0,1.1934128945210583e-06,2.3176991092627783e-05
130.0,0.23854723564866545,15.575919252656899,15.997478029346462,220000.0,219999.9999999999,11000.0,208999.9999999999,580.0,208419.9999999999,8.731149137020111e-11,-531.0479104452124,16443.408508741453,1.0,1.0,station,0.0,1.2021769583754767e-06,2.437916805100326e-05
135.0,0.2422834218551447,15.793090291561859,15.915631774269482,220000.0,220000.00000000003,11000.0,209000.00000000003,580.0,208420.00000000003,0.0,-530.9317240786311,16344.80662163486,1.0,1.0,station,0.0,1.2108560840821241e-06,2.5590024135085383e-05
140.0,0.2460187708489816,16.00748698267335,15.839959711465744,220000.0,220000.0,11000.0,209000.0,580.0,208420.0,0.0,-530.8127517557698,16247.582761044323,1.0,1.0,station,0.0,1.219451320012963e-06,2.6809475455098347e-05
145.0,0.2497532636882734,16.21917176958474,15.77026824704695,220000.0,220000.00000000006,11000.0,209000.00000000006,580.0,208420.00000000006,0.0,-530.6910876888377,16151.70416832449,1.0,1.0,station,0.0,1.227963716326231e-06,2.8037439171424578e-05
150.0,0.25348688207263037,16.42820539784117,15.706369366386278,220000.0,220000.00000000003,11000.0,209000.00000000003,580.0,208420.00000000003,0.0,-530.5668230401973,16057.139086053245,1.0,1.0,station,0.0,1.236394323706998e-06,2.9273833495131576e-05
155.0,0.25721960832247387,16.634646964045114,15.648080475358146,220000.0,220000.00000000012,11000.00000000003,209000.0000000001,580.0,208420.0000000001,0.0,-530.4400460303901,15963.856723452463,1.0,1.0,station,0.0,1.244744192191677e-06,3.051857768732325e-05
