time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_station_power_w,grid_power_w,charger_loss_w,dc_bus_power_w,auxiliary_power_w,accepted_battery_power_w,curtailed_station_power_w,battery_current_a,battery_heat_w,temperature_factor,soc_factor,limiting_reason,power_ledger_residual_w,incremental_aging_damage,cumulative_aging_damage
0.0,0.2873913680696693,37.15800707706403,36.33157440545978,220000.0,220000.0,11000.0,209000.0,3346.6666666666665,205653.33333333334,0.0,-537.1699521557438,9270.228186120003,1.0,1.0,station,0.0,2.47464955668446e-06,2.47464955668446e-06
5.0,0.2911696729159627,37.27524077054413,35.935738803721044,220000.0,220000.00000000015,11000.00000000003,209000.00000000012,3346.6666666666665,205653.33333333346,0.0,-536.9170044732676,9223.80511969739,1.0,1.0,station,0.0,2.4813020950103752e-06,4.955951651694835e-06
10.0,0.2949461876447195,37.389311648748325,35.55110209325922,220000.0,220000.0,11000.0,209000.0,3346.6666666666665,205653.33333333334,0.0,-536.6626193496564,9178.397490911573,1.0,1.0,station,0.0,2.4877092514295606e-06,7.443660903124396e-06
15.0,0.29872090268843143,37.50030449280827,35.177350516253384,220000.0,219999.99999999983,11000.0,208999.99999999983,3346.6666666666665,205653.33333333317,1.7462298274040222e-10,-536.4068746327426,9133.975779641301,1.0,1.0,station,0.0,2.493876800314283e-06,9.93753770343868e-06
20.0,0.3024938090074786,37.60830171562555,34.8141790287723,220000.0,219999.99999999997,11000.0,208999.99999999997,3346.6666666666665,205653.3333333333,2.9103830456733704e-11,-536.1498453382806,9090.51144520433,1.0,1.0,station,0.0,2.4998104209658758e-06,1.2437348124404556e-05
25.0,0.30626489807096535,37.71338342969357,34.461291058493856,220000.0,220000.0,11000.0,209000.0,3346.6666666666665,205653.33333333334,0.0,-535.8916037586492,9047.97689017393,1.0,1.0,station,0.0,2.5055156966719916e-06,1.4942863821076547e-05
30.0,0.31003416183828825,37.81562751291255,34.11839826920036,220000.0,220000.00000000006,11000.0,209000.00000000006,3346.6666666666665,205653.3333333334,0.0,-535.6322195669392,9006.345425698071,1.0,1.0,station,0.0,2.510998113976942e-06,1.745386193505349e-05
35.0,0.3138015927414053,37.915109672460446,33.78522033185808,220000.0,220000.00000000003,11000.0,209000.00000000003,3346.6666666666665,205653.33333333337,0.0,-535.3717599166296,8965.591238250694,1.0,1.0,station,0.0,2.5162630621501044e-06,1.9970124997203594e-05
40.0,0.3175671836677773,38.01190350678044,33.46148470209467,220000.0,220000.0,11000.0,209000.0,3346.6666666666665,205653.33333333334,0.0,-535.1102895370741,8925.68935774887,1.0,1.0,station,0.0,2.5213158328382913e-06,2.2491440830041885e-05
45.0,0.3213309279439531,38.10608056574349,33.14692640389395,220000.0,219999.9999999999,11000.0,208999.9999999999,3346.6666666666665,205653.33333333326,8.731149137020111e-11,-534.8478708249856,8886.615626972485,0.9993698143469177,1.0,station,0.0,2.526161619888675e-06,2.501760244993056e-05
50.0,0.3250928193197717,38.197710409042486,32.841287819332244,220000.0,219999.99999999997,11000.0,208999.99999999997,3346.6666666666665,205653.3333333333,2.9103830456733704e-11,-534.5845639321118,8848.346672226755,0.994383970048874,1.0,station,0.0,2.5308055193296802e-06,2.754840796926024e-05
55.0,0.32885285195315545,38.286860662872755,32.54431848418592,220000.0,219999.99999999985,11000.0,208999.99999999985,3346.6666666666665,205653.3333333332,1.4551915228366852e-10,-534.3204268492736,8810.859875190592,0.9895329783448096,1.0,station,0.0,2.5352525294977595e-06,3.0083660498758e-05
60.0,0.33261102039547097,38.37359707495165,32.255774889244485,220000.0,220000.0,11000.0,209000.0,3346.6666666666665,205653.33333333334,0.0,-534.055515486942,8774.133345897058,0.9848132590243835,1.0,station,0.0,2.5395075512988938e-06,3.262316805005689e-05
65.0,0.33635389072582034,38.45689016015869,31.975420287168312,220000.0,219171.49990928342,10958.57499546418,208212.92491381924,3346.6666666666665,204866.25824715258,828.5000907165813,-531.8815732601764,8655.04690630437,0.9802213313260892,1.0,temperature,0.0,2.525695936723872e-06,3.514886398678076e-05
70.0,0.340079167622924,38.536637353779525,31.703002636579562,220000.0,218201.38044628373,10910.069022314186,207291.31142396954,3346.6666666666665,203944.64475730289,1798.6195537162712,-529.3814537989457,8523.74526691968,0.9758116974033633,1.0,temperature,0.0,2.5085848339667894e-06,3.765744882074755e-05
75.0,0.3437875224252741,38.61297684054741,31.438273482573766,220000.0,217272.5601911705,10863.628009558539,206408.93218161195,3346.6666666666665,203062.2655149453,2727.439808829513,-526.9767350708008,8398.582186895126,0.9715897871528486,1.0,temperature,0.0,2.4921168511244987e-06,4.0149565671872046e-05
80.0,0.34747960124341126,38.68604071773794,31.180992691485038,220000.0,216383.4296982268,10819.171484911349,205564.25821331545,3346.6666666666665,202217.5915466488,3616.570301773201,-524.6638320510662,8279.241942510136,0.9675482849121959,1.0,temperature,0.0,2.476267791913169e-06,4.262583346378522e-05
85.0,0.35115602599067214,38.755955321008095,30.930928143003946,220000.0,215532.45042271385,10776.622521135694,204755.82790157816,3346.6666666666665,201409.1612349115,4467.549577286147,-522.4393061897,8165.428098508237,0.9636801972962268,1.0,temperature,0.0,2.461014382565003e-06,4.5086847846350224e-05
90.0,0.35481739536487034,38.82284152886352,30.68785543569902,220000.0,214718.15092580245,10735.907546290138,203982.2433795123,3346.6666666666665,200635.57671284565,5281.849074197555,-520.2998584386953,8056.862124653838,0.9599788359466302,1.0,temperature,0.0,2.4463342387709326e-06,4.753318208512116e-05
95.0,0.35846428578370626,38.88681504741601,30.451557605214603,220000.0,213939.12332842752,10696.956166421383,203242.16716200614,3346.6666666666665,199895.50049533948,6060.876671572478,-518.2423226766824,7953.28212539135,0.9564378014131077,1.0,temperature,0.0,2.432205833205466e-06,4.9965387918326625e-05
100.0,0.3620972522765134,38.94798667694547,30.221824854467332,220000.0,213194.0199946987,10659.700999734952,202534.31899496375,3346.6666666666665,199187.6523282971,6805.980005301302,-516.263659504171,7854.441672275754,0.9530509680779761,1.0,temperature,0.0,2.4186084637348717e-06,5.2383996382061496e-05
105.0,0.3657168293347776,39.00646256164739,29.998454295208948,220000.0,212481.55042723785,10624.077521361905,201857.47290587594,3346.6666666666665,198510.80623920928,7518.449572762154,-514.3609503849113,7760.108729887678,0.9498124700440634,1.0,temperature,0.0,2.405522222387349e-06,5.478951860444885e-05
110.0,0.3693235317237045,39.062344423826666,29.781249700364853,220000.0,211800.4783583565,10590.023917917832,201210.45444043865,3346.6666666666665,197863.787773772,8199.521641643514,-512.5313921106621,7670.064666871596,0.9467166879127853,1.0,temperature,0.0,2.3929279651447525e-06,5.71824465695936e-05
115.0,0.3729178552569633,39.11572978369043,29.570021266596385,220000.0,211149.61902238606,10557.480951119302,200592.13807126676,3346.6666666666665,197245.4714046001,8850.380977613939,-510.77229156835045,7584.103344562042,0.9437582363856472,1.0,temperature,0.0,2.3808072825993407e-06,5.956325385219294e-05
120.0,0.37650027753659776,39.16671216579442,29.36458538657001,220000.0,210527.8365957378,10526.39182978691,200001.4447659509,3346.6666666666665,196654.77809928425,9472.163404262188,-509.08106079015835,7502.030276398907,0.9409319526281535,1.0,temperature,0.0,2.369142471505647e-06,6.19323963236986e-05
125.0,0.3800712586599686,39.2153812931087,29.164764430449463,220000.0,209934.0417924087,10496.702089620434,199437.33970278827,3346.6666666666665,196090.67303612162,10065.958207591291,-507.45521226848626,7423.6618519903595,0.9382328853402953,1.0,temperature,0.0,2.3579165072462877e-06,6.429031283094489e-05
130.0,0.3836312418954732,39.26182326958844,28.970386536156845,220000.0,209367.18960368948,10468.359480184474,198898.830123505,3346.6666666666665,195552.16345683835,10632.810396310524,-505.89235451907825,7348.82462027072,0.9356562844824806,1.0,temperature,0.0,2.3471130172212497e-06,6.663742584816614e-05
135.0,0.38718065432868,39.306120752062405,28.781285407976686,220000.0,208826.27717174907,10441.31385858747,198384.9633131616,3346.6666666666665,195038.29664649494,11173.722828250931,-504.3901878767525,7277.354626725178,0.9331975916100238,1.0,temperature,0.0,2.3367162551622244e-06,6.897414210332837e-05
140.0,0.3907199074804124,39.348353112185755,28.597300123102666,220000.0,208310.3417876404,10415.517089382018,197894.8246982584,3346.6666666666665,194548.15803159174,11689.658212359587,-502.9465005093415,7209.096800127042,0.9308524307731668,1.0,temperature,0.0,2.326711076367553e-06,7.130085317969592e-05
145.0,0.3942493978982244,39.388596589143695,28.418274945750664,220000.0,207818.45900502734,10390.922950251377,197427.53605477596,3346.6666666666665,194080.8693881093,12181.54099497266,-501.5591646364373,7143.904384655238,0.9286165999431071,1.0,temperature,0.0,2.3170829138478325e-06,7.361793609354375e-05
150.0,0.3977695077226204,39.42692443373778,28.244059148483853,220000.0,207349.740861635,10367.487043081754,196982.25381855323,3346.6666666666665,193635.58715188658,12650.259138365014,-500.22613294047903,7081.638413639945,0.9264860629276868,1.0,temperature,0.0,2.3078177553681416e-06,7.59257538489119e-05
155.0,0.40128060522929204,39.46340704443687,28.074506840416205,220000.0,206903.33420106853,10345.166710053425,196558.1674910151,3346.6666666666665,193211.50082434845,13096.66579893147,-498.9454351586065,7022.167221527107,0.924456941743294,1.0,temperature,0.0,2.2989021213695275e-06,7.822465597028143e-05
160.0,0.40478304534856807,39.49811209592939,27.909476801979842,220000.0,206478.4190882202,10323.920954411005,196154.4981338092,3346.6666666666665,192807.83146714253,13521.580911779805,-497.71517484448975,6965.365990959586,0.9225255094121657,1.0,temperature,0.0,2.290323043749679e-06,8.051497901403111e-05
165.0,0.40827717016320203,39.53110466067215,27.74883232595941,220000.0,206074.20731201326,10303.71036560068,195770.49694641258,3346.6666666666665,192423.83027974592,13925.792687986745,-496.53352629008907,6911.116332150481,0.9206881831566792,1.0,temperature,0.0,2.2820680454807346e-06,8.279704705951185e-05
170.0,0.41176330938555816,39.56244732389298,27.592441064513235,220000.0,205689.9409697154,10284.497048485791,195405.4439212296,3346.6666666666665,192058.77725456294,14310.05903028461,-495.3987315979793,6859.305891974266,0.9189415179644156,1.0,temperature,0.0,2.274125121040479e-06,8.507117218055233e-05
175.0,0.4152417808151933,39.59220029247014,27.440174881916455,220000.0,205324.8911274961,10266.244556374819,195058.6465711213,3346.6666666666665,191711.97990445464,14675.108872503886,-494.309097895518,6809.827990427944,0.9172822004997833,1.0,temperature,0.0,2.2664827176324195e-06,8.733765489818475e-05
180.0,0.4187128907777753,39.62042149807945,27.29190971277562,220000.0,204978.3565523034,10248.917827615165,194729.43872468823,3346.6666666666665,191382.77205802157,15021.64344769661,-493.2629946827051,6762.581282318216,0.9157070433398162,1.0,temperature,0.0,2.259129717169148e-06,8.959678461535389e-05
185.0,0.4221769345462258,39.64716669497156,27.147525425477756,220000.0,204649.6625105009,10232.483125525061,194417.17938497584,3346.6666666666665,191070.51271830918,15350.3374894991,-492.25885130612477,6717.469442215529,0.9142129795134408,1.0,temperature,0.0,2.2520554189930774e-06,9.184884003434697e-05
190.0,0.4256341967449242,39.67248955271467,27.006905690649397,220000.0,204338.15962905163,10216.90798145259,194121.25164759904,3346.6666666666665,190774.58498093238,15661.840370948368,-491.2951545518752,6674.4008708840665,0.912797057325035,1.0,temperature,0.0,2.2452495233086498e-06,9.409408955765561e-05
195.0,0.4290849517377634,39.696441744214184,26.86993785441285,220000.0,204043.22281533768,10202.161140766897,193841.06167457078,3346.6666666666665,190494.39500790412,15956.777184662322,-490.37044635083726,6633.288421547734,0.9114564354445174,1.0,temperature,0.0,2.2387021152998107e-06,9.633279167295542e-05
200.0,0.43252946400080466,39.719073029297945,26.736512816237898,220000.0,203764.2502319904,10188.21251159953,193576.03772039086,3346.6666666666665,190229.3710537242,16235.749768009613,-489.4833215900742,6594.04914449047,0.9101883782474844,1.0,temperature,0.0,2.2324036499070075e-06,9.856519532286243e-05
205.0,0.43596798848023666,39.740431334135465,26.606524911197482,220000.0,203500.66232336778,10175.0331161684,193325.62920719938,3346.6666666666665,189978.96254053272,16499.337676632218,-488.63242602454835,6556.604048614128,0.9089902513901088,1.0,temperature,0.0,2.2263449372381336e-06,0.00010079154026010056
210.0,0.43940077093630725,39.7605628267404,26.47987179644551,220000.0,203251.90089055427,10162.595044527727,193089.30584602655,3346.6666666666665,189742.6391793599,16748.099109445728,-487.81645428371553,6520.877878691136,0.907859517604593,1.0,temperature,0.0,2.2205171285884343e-06,0.000103012057388689
215.0,0.44282804827385913,39.77951198878829,26.356454341744037,220000.0,203017.42821197922,10150.871410598978,192866.55680138024,3346.6666666666665,189519.89013471358,16982.57178802078,-487.0341479678959,6486.798907152417,0.9067937327019789,1.0,temperature,0.0,2.2149117030447966e-06,0.00010522696909173379
220.0,0.4462500488600677,39.797321683965514,26.23617652387553,220000.0,202796.72620695079,10139.836310347542,192656.88989660324,3346.6666666666665,189310.2232299366,17203.273793049215,-486.2842938296415,6454.298739345336,0.9057905417700315,1.0,temperature,0.0,2.2095204546504955e-06,0.00010743648954638428
225.0,0.449666992829948,39.81403322305036,26.118945324783937,220000.0,202589.29563959272,10129.464781979652,192459.83085761307,3346.6666666666665,189113.1641909464,17410.704360407282,-485.5657220356194,6423.312131282444,0.904847675554767,1.0,temperature,0.0,2.2043354801072206e-06,0.0001096408250264915
230.0,0.45307909238016697,39.829686425914026,26.00467063329583,220000.0,202394.65536083968,10119.732768041984,192274.9225927977,3346.6666666666665,188928.25592613104,17605.34463916032,-484.87730450480103,6393.776818980033,0.903962947014981,1.0,temperature,0.0,2.1993491669917266e-06,0.00011184017419348323
235.0,0.45648655205167116,39.84431968061616,25.893265150279863,220000.0,202212.34158630992,10110.617079315503,192101.72450699442,3346.6666666666665,188755.05784032776,17787.65841369008,-484.2179533190123,6365.633358557025,0.9031342480398457,1.0,temperature,0.0,2.1945541824653423e-06,0.00011403472837594857
240.0,0.45988956900161204,39.85796999975829,25.78464429710961,220000.0,202041.90720801445,10102.095360400737,191939.81184761372,3346.6666666666665,188593.14518094706,17958.092791985546,-483.5866192021237,6338.824976329905,0.902359546320321,1.0,temperature,0.0,2.1899434624552276e-06,0.0001162246718384038
245.0,0.4632883332650282,39.87067307424767,25.678726127301008,220000.0,201882.92113800612,10094.146056900325,191788.7750811058,3346.6666666666665,188442.10841443914,18117.078861993883,-482.9822900644035,6313.297428199484,0.9016368823657376,1.0,temperature,0.0,2.185510201287059e-06,0.00011841018203969086
