time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_station_power_w,grid_power_w,charger_loss_w,dc_bus_power_w,auxiliary_power_w,accepted_battery_power_w,curtailed_station_power_w,battery_current_a,battery_heat_w,temperature_factor,soc_factor,limiting_reason,power_ledger_residual_w,incremental_aging_damage,cumulative_aging_damage
0.0,0.24395396408827044,26.124290080592086,25.421326205767315,250000.0,224614.02495116362,11230.701247558201,213383.32370360542,580.0,212803.32370360542,25385.97504883638,-549.9999999999998,13572.057597974761,1.0,1.0,target_soc,0.0,1.8361708793137838e-06,1.8361708793137838e-06
5.0,0.2478243344586408,26.298506246296455,25.42728234225015,250000.0,224703.50261366068,11235.175130683056,213468.32748297762,580.0,212888.32748297762,25296.497386339324,-550.0000000000001,13507.554865965518,1.0,1.0,target_soc,0.0,1.846618286382768e-06,3.6827891656965517e-06
10.0,0.2516947048290112,26.471043175011086,25.43658957267838,250000.0,224793.54452757168,11239.677226378582,213553.8673011931,580.0,212973.8673011931,25206.455472428323,-550.0,13443.871665849623,1.0,1.0,target_soc,0.0,1.857010172761726e-06,5.539799338458278e-06
15.0,0.25556507519938154,26.641936544714316,25.449139353631846,250000.0,224884.1308768357,11244.206543841807,213639.9243329939,580.0,213059.9243329939,25115.869123164302,-550.0000000000001,13380.98846633194,1.0,1.0,target_soc,0.0,1.8673475197778246e-06,7.407146858236102e-06
20.0,0.2594354455697519,26.811221063304114,25.464826283194895,250000.0,224975.24246653082,11248.762123326538,213726.48034320428,580.0,213146.48034320428,25024.75753346918,-550.0,13318.886345435916,1.0,1.0,target_soc,0.0,1.87763129210615e-06,9.284778150342252e-06
25.0,0.26330581594012226,26.978930496886964,25.48354801128425,250000.0,225066.86070055584,11253.343035027792,213813.51766552805,580.0,213233.51766552805,24933.139299444156,-549.9999999999999,13257.546968738145,1.0,1.0,target_soc,0.0,1.887862437781701e-06,1.1172640588123954e-05
30.0,0.2671761863104926,27.145097697202033,25.505205152548523,250000.0,225158.96756020896,11257.94837801045,213901.0191821985,580.0,213321.0191821985,24841.032439791044,-549.9999999999999,13196.952568474331,1.0,1.0,target_soc,0.0,1.8980418882303985e-06,1.3070682476354352e-05
35.0,0.27104655668086297,27.309754628208733,25.529701201764503,250000.0,225251.54558362576,11262.577279181307,213988.96830444445,580.0,213408.96830444445,24748.45441637424,-549.9999999999998,13137.08592347745,1.0,1.0,target_soc,0.0,1.9081705583176017e-06,1.4978853034671953e-05
40.0,0.27491692705123333,27.472932391864816,25.55694245165763,250000.0,225344.57784603772,11267.228892301908,214077.3489537358,580.0,213497.3489537358,24655.42215396228,-550.0000000000001,13077.93033991101,1.0,1.0,target_soc,0.0,1.918249346412948e-06,1.68971023810849e-05
45.0,0.2787872974216037,27.63466125312117,25.58683791307627,250000.0,225438.04794081228,11271.902397040627,214166.14554377165,580.0,213586.14554377165,24561.952059187723,-550.0000000000003,13019.469632761484,1.0,1.0,target_soc,0.0,1.9282791344702246e-06,1.8825381515555124e-05
50.0,0.28265766779197404,27.794970664158534,25.61929923745146,250000.0,225531.9399612422,11276.59699806213,214255.34296318007,580.0,213675.34296318007,24468.0600387578,-550.0,12961.688108056858,1.0,1.0,target_soc,0.0,1.9382607881212233e-06,2.076364230367635e-05
55.0,0.2865280381623444,27.95388928789051,25.654240641475848,250000.0,225626.23848305005,11281.311924152513,214344.92655889754,580.0,213764.92655889754,24373.761516949948,-549.9999999999999,12904.570545778974,1.0,1.0,target_soc,0.0,1.948195156782385e-06,2.2711837460458734e-05
60.0,0.29039840853271476,28.11144502075632,25.691578833937488,250000.0,225720.92854757537,11286.04642737878,214434.8821201966,580.0,213854.8821201966,24279.07145242463,-549.9999999999999,12848.102183439209,1.0,1.0,target_soc,0.0,1.9580830737732837e-06,2.466992053423202e-05
65.0,0.2942687789030851,28.26766501482603,25.731232944646116,250000.0,225815.99564561597,11290.79978228081,214525.19586333516,580.0,213945.19586333516,24184.00435438403,-550.0000000000002,12792.268700288887,1.0,1.0,target_soc,0.0,1.967925356445967e-06,2.6637845890677984e-05
70.0,0.2981391492734555,28.422575699240085,25.773124455391343,250000.0,225911.42570189343,11295.571285094687,214615.85441679874,580.0,214035.85441679874,24088.57429810657,-549.9999999999999,12737.056202136704,1.0,1.0,target_soc,0.0,1.9777228063242e-06,2.8615568697002186e-05
75.0,0.30200951964382583,28.57620280100436,25.81717713287397,250000.0,226007.20506011954,11300.360253005987,214706.84480711355,580.0,214126.84480711355,23992.794939880463,-549.9999999999999,12682.451206747415,1.0,1.0,target_soc,0.0,1.9874762092518377e-06,3.060304490625403e-05
80.0,0.3058798900141962,28.728571365161027,25.863316963553455,250000.0,226103.32046863122,11305.166023431579,214798.15444519965,580.0,214218.15444519965,23896.679531368776,-550.0000000000001,12628.44062979627,1.0,1.0,target_soc,0.0,1.997186335549415e-06,3.260023124180344e-05
85.0,0.30975026038456654,28.879705774355045,25.91147209035614,250000.0,226199.7590665754,11309.98795332879,214889.77111324662,580.0,214309.77111324662,23800.24093342459,-549.9999999999998,12575.011771356156,1.0,1.0,target_soc,0.0,2.0068539401782606e-06,3.46070851819817e-05
90.0,0.3136206307549369,29.029629767815244,25.961572751190538,250000.0,226296.50837061956,11314.825418530992,214981.68295208857,580.0,214401.68295208857,23703.49162938044,-550.0000000000001,12522.152302894765,1.0,1.0,target_soc,0.0,2.01647976291138e-06,3.6623564944893084e-05
