time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
0.0,0.34969530249246805,-14.991558190193686,-15.0,15300.0,220000.0,15300.0,0.0,0.0,15300.00000000001,9.094947017729282e-12,strategy_none,7.843610707063508e-09,7.843610707063508e-09
5.0,0.34938487219063963,-14.982936961769097,-14.999831163803874,15582.226850822663,220000.0,15582.226850822663,0.0,0.0,15582.226850822668,5.4569682106375694e-12,strategy_none,8.018142057983111e-09,1.5861752765046617e-08
10.0,0.3490687672651235,-14.974136362871675,-14.999493590777224,15861.36156520795,220000.0,15861.36156520795,0.0,0.0,15861.361565207937,-1.2732925824820995e-11,strategy_none,8.192127029514046e-09,2.4053879794560662e-08
15.0,0.34874710803545445,-14.9651589819026,-14.998987379078207,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812388,3.092281986027956e-11,strategy_none,8.363652783795621e-09,3.241753257835628e-08
20.0,0.34842007576752904,-14.956009981320081,-14.998312676489023,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.188936304694,3.2741809263825417e-11,strategy_none,8.530796567850241e-09,4.094832914620652e-08
25.0,0.3480879107920541,-14.946697095077258,-14.997469730813165,16650.0,220000.0,16650.0,0.0,0.0,16650.000000000007,7.275957614183426e-12,strategy_none,8.691649856857914e-09,4.9639979003064436e-08
30.0,0.34775090996017644,-14.937230586812447,-14.996458939120634,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189644,-3.2741809263825417e-11,strategy_none,8.844343852746128e-09,5.8484322855810564e-08
35.0,0.34740942346038334,-14.927623166823981,-14.995280895081354,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.652637168932,1.8189894035458565e-11,strategy_none,8.987075878771406e-09,6.747139873458198e-08
40.0,0.34706385102859777,-14.917889866913034,-14.993936433604215,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.491028788954,-7.275957614183426e-12,strategy_none,9.118136133237541e-09,7.658953486781951e-08
45.0,0.3467146375910141,-14.90804787332623,-14.992426671997963,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.345884812363,7.275957614183426e-12,strategy_none,9.235934204007681e-09,8.582546907182719e-08
50.0,0.3463622683865023,-14.898116319232509,-14.9907530468919,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.268590218,1.4551915228366852e-11,strategy_none,9.339024704160372e-09,9.516449377598756e-08
55.0,0.3460072636222276,-14.888116039378845,-14.9889173461997,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735635,-2.1827872842550278e-11,strategy_none,9.426131371312447e-09,1.0459062514730001e-07
60.0,0.3456501727223583,-14.878069290738363,-14.986921735478179,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.852593996882,-3.2741809263825417e-11,strategy_none,9.496168980980645e-09,1.1408679412828065e-07
65.0,0.34529156823524837,-14.867999444044157,-14.984768778123291,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.99852198126,-1.4551915228366852e-11,strategy_none,9.548262458818275e-09,1.2363505658709892e-07
70.0,0.3449320394691752,-14.857930652047456,-14.982461448955691,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749437,3.2741809263825417e-11,strategy_none,9.58176263718652e-09,1.3321681922428543e-07
75.0,0.3445721859304879,-14.847887501109463,-14.980003140874713,18000.0,220000.0,18000.0,0.0,0.0,18000.000000000022,2.1827872842550278e-11,strategy_none,9.596258186441203e-09,1.4281307741072663e-07
80.0,0.3442126106407982,-14.837894653299115,-14.977397664398849,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494353,1.4551915228366852e-11,strategy_none,9.591583357318597e-09,1.5240466076804522e-07
85.0,0.3438539134115697,-14.827976486499654,-14.974649240058225,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.99852198128,7.275957614183426e-12,strategy_none,9.567821293466111e-09,1.6197248206151134e-07
