time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
0.0,0.3997012935324634,45.007294430980984,44.99078947368421,15300.0,220000.0,15300.0,0.0,0.0,15299.999999999847,-1.5279510989785194e-10,strategy_none,6.315395881301727e-08,6.315395881301727e-08
5.0,0.39939703096031376,45.01466238648827,44.98192601327336,15582.226850822663,220000.0,15582.226850822663,0.0,0.0,15582.22685082259,-7.275957614183426e-11,strategy_none,6.452899424960707e-08,1.2768295306262433e-07
10.0,0.3990872710144486,45.02210431144071,44.973403508607944,15861.36156520795,220000.0,15861.36156520795,0.0,0.0,15861.361565207853,-9.640643838793039e-11,strategy_none,6.589807691772773e-08,1.9358102998035206e-07
15.0,0.39877213253021115,45.02961888652345,44.965215991885586,16134.345884812357,220000.0,16134.345884812357,0.0,0.0,16134.345884812257,-1.000444171950221e-10,strategy_none,6.72460503429423e-08,2.6082708032329435e-07
20.0,0.3984517931858805,45.03720304347867,44.95735759926698,16398.18893630466,220000.0,16398.18893630466,0.0,0.0,16398.1889363047,4.001776687800884e-11,strategy_none,6.855772948154354e-08,3.293848098048379e-07
25.0,0.39812648759321323,45.04485200162943,44.94982253362625,16650.0,220000.0,16650.0,0.0,0.0,16650.00000000008,8.003553375601768e-11,strategy_none,6.981809104143505e-08,3.9920290084627296e-07
30.0,0.39779650475951844,45.05255932614424,44.94260502884542,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189677,0.0,strategy_none,7.101247260286309e-08,4.702153734491361e-07
35.0,0.397462184947828,45.060317008155394,44.93569931605405,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.652637168918,3.637978807091713e-12,strategy_none,7.212677694997497e-08,5.42342150399111e-07
40.0,0.3971239159685684,45.06811556641543,44.92909959220861,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.49102878896,0.0,strategy_none,7.314767750797649e-08,6.154898279070875e-07
45.0,0.3967821289426605,45.07594416972656,44.92279999139131,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.34588481234,-1.4551915228366852e-11,strategy_none,7.406282039008362e-08,6.895526482971711e-07
