candidate_id,scenario,strategy,feasible,constraint_failure_reason,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok
baseline-none,cold_arrival,none,True,ok,True,True,True,True,True
baseline-rule,cold_arrival,rule,True,ok,True,True,True,True,True
optimized-000,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-001,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-002,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-003,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-004,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-005,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-006,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-007,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-008,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-009,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-010,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-011,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-012,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-013,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-014,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-015,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-016,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-017,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-018,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-019,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-020,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-021,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-022,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-023,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-024,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-025,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-026,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-027,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-028,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-029,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-030,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-031,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-032,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-033,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-034,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-035,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-036,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-037,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-038,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-039,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-040,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-041,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-042,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-043,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-044,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-045,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-046,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-047,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-048,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-049,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-050,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-051,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-052,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-053,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-054,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-055,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-056,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-057,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-058,cold_arrival,optimized,True,ok,True,True,True,True,True
optimized-059,cold_arrival,optimized,True,ok,True,True,True,True,True
baseline-none,mild_arrival,none,True,ok,True,True,True,True,True
baseline-rule,mild_arrival,rule,True,ok,True,True,True,True,True
optimized-000,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-001,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-002,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-003,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-004,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-005,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-006,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-007,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-008,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-009,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-010,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-011,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-012,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-013,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-014,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-015,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-016,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-017,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-018,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-019,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-020,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-021,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-022,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-023,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-024,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-025,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-026,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-027,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-028,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-029,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-030,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-031,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-032,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-033,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-034,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-035,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-036,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-037,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-038,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-039,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-040,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-041,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-042,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-043,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-044,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-045,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-046,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-047,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-048,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-049,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-050,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-051,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-052,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-053,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-054,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-055,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-056,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-057,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-058,mild_arrival,optimized,True,ok,True,True,True,True,True
optimized-059,mild_arrival,optimized,True,ok,True,True,True,True,True
baseline-none,hot_arrival,none,True,ok,True,True,True,True,True
baseline-rule,hot_arrival,rule,True,ok,True,True,True,True,True
optimized-000,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-001,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-002,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-003,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-004,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-005,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-006,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-007,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-008,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-009,hot_arrival,optimized,True,ok,True,True,True,True,True
optimized-010,hot_arrival,optimized,True,ok,True,True,True,True,True
