candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason
baseline-none,cold_arrival,none,0.0,-11.822062992689721,0.0,-11.822062992689721,-12.329880263924156,36.82206299268972,0.2016673837963337,0.0,2255.0,37.583333333333336,51.866946197573796,0.8,15.253382167786661,9.228253203240456e-05,charge_complete,strategy_none,6.002665031701326e-11,True,True,True,True,True,True,ok
baseline-rule,cold_arrival,rule,0.0,10.006290746522177,0.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,cold_arrival_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-000,cold_arrival,optimized,600.0,15.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-001,cold_arrival,optimized,600.0,15.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-002,cold_arrival,optimized,600.0,15.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-003,cold_arrival,optimized,600.0,20.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-004,cold_arrival,optimized,600.0,20.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-005,cold_arrival,optimized,600.0,20.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-006,cold_arrival,optimized,600.0,25.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-007,cold_arrival,optimized,600.0,25.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-008,cold_arrival,optimized,600.0,25.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-009,cold_arrival,optimized,600.0,30.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-010,cold_arrival,optimized,600.0,30.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-011,cold_arrival,optimized,600.0,30.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-012,cold_arrival,optimized,600.0,35.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-013,cold_arrival,optimized,600.0,35.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-014,cold_arrival,optimized,600.0,35.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-015,cold_arrival,optimized,1200.0,15.0,2500.0,-6.546674710353665,-2.5351728670588907,31.546674710353663,0.18776925557645047,0.9271929824561427,1780.0,29.666666666666668,52.25296518820079,0.8,18.32154089632113,0.00012288610082099703,charge_complete,optimized_preheat,6.230038707144558e-11,True,True,True,True,True,True,ok
optimized-016,cold_arrival,optimized,1200.0,15.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-017,cold_arrival,optimized,1200.0,15.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
optimized-018,cold_arrival,optimized,1200.0,20.0,2500.0,-6.546674710353665,-2.5351728670588907,31.546674710353663,0.18776925557645047,0.9271929824561427,1780.0,29.666666666666668,52.25296518820079,0.8,18.32154089632113,0.00012288610082099703,charge_complete,optimized_preheat,6.230038707144558e-11,True,True,True,True,True,True,ok
optimized-019,cold_arrival,optimized,1200.0,20.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
