candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason
baseline-rule,cold_arrival,rule,0.0,10.006290746522177,0.0,10.006290746522177,17.79065039056287,14.993709253477823,0.1476673332685769,3.6087719298245853,1055.0,17.583333333333332,54.13860377774808,0.8,30.369055609401524,0.00028884923287248593,charge_complete,cold_arrival_preheat,7.548806024715304e-11,True,True,True,True,True,True,ok
optimized-032,cold_arrival,optimized,1800.0,15.0,5000.0,4.499645315604464,12.657193821871902,20.500354684395536,0.16108321466859846,2.7065789473684347,1120.0,18.666666666666668,53.43742536974805,0.8,26.853580298547413,0.00023294101458239344,charge_complete,optimized_preheat,8.276401786133647e-11,True,True,True,True,True,True,ok
optimized-046,cold_arrival,optimized,2400.0,15.0,3750.0,4.552966746941754,10.26268729759067,20.447033253058244,0.160848991154683,2.7315789473684267,1125.0,18.75,53.48110558247764,0.8,26.629930497591918,0.00023090382796902656,charge_complete,optimized_preheat,6.912159733474255e-11,True,True,True,True,True,True,ok
optimized-031,cold_arrival,optimized,1800.0,15.0,3750.0,0.41902174357658845,6.409268029007723,24.58097825642341,0.17098863960840535,2.0486842105263112,1280.0,21.333333333333332,52.95396109532782,0.8,23.5485160435664,0.00018572053517420533,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-017,cold_arrival,optimized,1200.0,15.0,5000.0,-1.2701415020746245,7.262348584547382,26.270141502074626,0.1745470236899755,1.804385964912285,1365.0,22.75,52.776376123852465,0.8,22.62648509684541,0.00017247923542691178,charge_complete,optimized_preheat,6.821210263296962e-11,True,True,True,True,True,True,ok
optimized-045,cold_arrival,optimized,2400.0,15.0,2500.0,-0.8959214289707939,2.73906291676843,25.895921428970794,0.17399344719437354,1.854385964912293,1390.0,23.166666666666668,52.84970787552906,0.8,22.240799165704807,0.0001690585724801304,charge_complete,optimized_preheat,6.775735528208315e-11,True,True,True,True,True,True,ok
optimized-016,cold_arrival,optimized,1200.0,15.0,3750.0,-3.9112919493410656,2.361147759246369,28.911291949341066,0.18116710682239515,1.3657894736842142,1560.0,26.0,52.495672950057646,0.8,20.351909384819272,0.00014510021141948338,charge_complete,optimized_preheat,7.09405867382884e-11,True,True,True,True,True,True,ok
optimized-002,cold_arrival,optimized,600.0,15.0,5000.0,-7.255938134234979,1.3056894812713726,32.25593813423498,0.18807309074123996,0.9021929824561393,1770.0,29.5,52.22173103331086,0.8,18.41492049061697,0.000123569001221679,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-001,cold_arrival,optimized,600.0,15.0,3750.0,-8.401215655915736,-2.1057091282552585,33.401215655915735,0.19139263138400908,0.682894736842106,1890.0,31.5,52.119863726089854,0.8,17.49587443800561,0.00011413292142389385,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
optimized-000,cold_arrival,optimized,600.0,15.0,2500.0,-9.542005007337865,-5.514207481882628,34.54200500733786,0.1947024523159167,0.46359649122806956,2005.0,33.416666666666664,52.032227830942624,0.8,16.67488633379933,0.00010584665363606898,charge_complete,optimized_preheat,6.002665031701326e-11,True,True,True,True,True,True,ok
baseline-none,cold_arrival,none,0.0,-11.822062992689721,0.0,-11.822062992689721,-12.329880263924156,36.82206299268972,0.2016673837963337,0.0,2255.0,37.583333333333336,51.866946197573796,0.8,15.253382167786661,9.228253203240456e-05,charge_complete,strategy_none,6.002665031701326e-11,True,True,True,True,True,True,ok
baseline-none,mild_arrival,none,0.0,25.948358000656484,0.0,25.948358000656484,25.418832940475344,0.9483580006564836,0.24008359371790008,0.0,840.0,14.0,46.76721099292223,0.8,37.110364189489076,0.00036547551146047915,charge_complete,strategy_none,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-006,mild_arrival,optimized,600.0,25.0,2500.0,25.38419755648503,23.233077684122755,0.38419755648503084,0.2392274602613345,0.05843082605653354,840.0,14.0,46.839333083455415,0.8,36.839826873564625,0.00036142427877751567,charge_complete,target_deadband,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-000,mild_arrival,optimized,600.0,15.0,2500.0,23.966053593242595,18.785336864352207,1.033946406757405,0.23767850517450576,0.16388888888888897,845.0,14.083333333333334,46.97259671960994,0.8,36.161364304094896,0.0003509811116376509,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
