scenario,strategy,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct
urban_hot,baseline,13.604012924591022,2.8086847162777637,0.7574424729306521,2.1383183598410644,15.718291151986307,477.151105516469,38.0411190107106,43.92468497120751,3.5283412603356132,0.0,1.0425358485083037e-12,2.745483463426467e-12
urban_hot,predictive,13.604012924591022,2.813685797842837,0.7632666423886494,2.1441425292990637,15.761103294920039,475.8550121562445,38.0411190107106,43.92396564288568,3.5300545089328397,0.0,9.799867570599283e-13,2.9201099695674095e-12
cold_start,baseline,13.60786575826185,6.749792592118864,5.235221273097984,6.61885241395084,48.6399008597824,154.19439323325858,-3.716572905239006,-4.891613259425742,11.710115397837743,0.0,2.0311877066324431e-13,5.579902815119268e-13
cold_start,predictive,13.60786575826185,6.749792592118864,5.235221273097984,6.61885241395084,48.6399008597824,154.19439323325858,-3.716572905239006,-4.891613259425742,11.710115397837743,0.0,2.0311877066324431e-13,5.579902815119268e-13
highway_hot,baseline,48.84312356187421,8.075913618394381,0.6007576640327696,8.075913618394381,16.53439221216853,453.59998140605103,36.05881252524134,44.121266351892196,2.0719213993107406,0.0,4.1433225937161303e-13,2.6223877239090982e-12
highway_hot,predictive,48.84312356187421,8.153646088208108,0.678490133846494,8.153646088208108,16.693539425010588,449.2756035166127,35.83616317041765,44.100466597675776,2.0725437154675146,0.0,3.972999620633617e-13,2.604359184276557e-12
aggressive,baseline,32.553131944914114,9.48240170017686,0.15820042121599628,5.0330425625025175,15.4610087011577,485.09124760006176,33.088393013461214,46.074714074623564,0.938683400949081,0.0,2.1437428046755128e-13,2.4600295396090308e-12
aggressive,predictive,32.553131944914114,9.534220736346738,0.2508720638107538,5.125714205097275,15.745686816773654,476.3209180567696,32.22065229045504,39.754209620190316,0.938683400949081,0.0,2.053213387369524e-13,1.9540948940375386e-12
hill_high_load,baseline,30.593170823299552,17.482369591326236,0.046049489820569355,17.482369591326236,57.144680073540414,131.2458130896547,32.50453719136202,48.066518026998715,0.7648032181672447,0.0,1.6357067100578601e-13,2.3080958028777983e-12
hill_high_load,predictive,30.593170823299552,17.493871956277534,0.057551854771862664,17.493871956277534,57.18227789240571,131.15951788615374,31.91511985112195,42.33729497690328,0.7648032181672447,0.0,1.659614981319836e-13,2.044012565703786e-12
mixed_mild,baseline,28.866419831247132,4.577797510990045,0.1382420950215845,3.4724188945617707,12.029267622592288,623.4793534657234,20.49068822693984,26.763812953182327,1.0213769297521358,0.014136782686626582,4.560589810741971e-13,4.374829183360946e-12
mixed_mild,predictive,28.866419831247132,4.577797510990045,0.1382420950215845,3.4724188945617707,12.029267622592288,623.4793534657234,20.49068822693984,26.763812953182327,1.0213769297521358,0.014136782686626582,4.560589810741971e-13,4.374829183360946e-12
